Timestamp,R,IR,G
30/5/2025 16:19:50,175174,168534,407
30/5/2025 16:19:50,175165,168475,412
30/5/2025 16:19:50,175149,168497,330
30/5/2025 16:19:50,175244,168489,356
30/5/2025 16:19:50,175190,168496,381
30/5/2025 16:19:50,175219,168559,400
30/5/2025 16:19:50,175251,168561,334
30/5/2025 16:19:50,175176,168462,334
30/5/2025 16:19:50,175349,168532,345
30/5/2025 16:19:50,175359,168531,368
30/5/2025 16:19:50,175342,168565,409
30/5/2025 16:19:50,175340,168560,360
30/5/2025 16:19:50,175364,168599,418
30/5/2025 16:19:50,175374,168536,373
30/5/2025 16:19:50,175501,168634,315
30/5/2025 16:19:50,175485,168617,386
30/5/2025 16:19:50,175479,168583,430
30/5/2025 16:19:50,175549,168617,393
30/5/2025 16:19:50,175541,168621,382
30/5/2025 16:19:50,175472,168691,344
30/5/2025 16:19:50,175552,168638,394
30/5/2025 16:19:50,175604,168670,352
30/5/2025 16:19:50,175594,168677,362
30/5/2025 16:19:50,175603,168737,393
30/5/2025 16:19:50,175597,168703,395
30/5/2025 16:19:50,175630,168753,369
30/5/2025 16:19:50,175681,168700,380
30/5/2025 16:19:50,175675,168733,372
30/5/2025 16:19:50,175625,168781,407
30/5/2025 16:19:50,175658,168685,373
30/5/2025 16:19:50,175766,168731,379
30/5/2025 16:19:50,175775,168792,356
30/5/2025 16:19:50,175655,168819,289
30/5/2025 16:19:50,175775,168799,331
30/5/2025 16:19:50,175821,168795,373
30/5/2025 16:19:50,175850,168848,314
30/5/2025 16:19:50,175839,168829,422
30/5/2025 16:19:50,175940,168863,425
30/5/2025 16:19:50,175916,168866,384
30/5/2025 16:19:50,176013,168870,384
30/5/2025 16:19:50,175949,168905,360
30/5/2025 16:19:50,175997,168896,384
30/5/2025 16:19:50,176024,168854,356
30/5/2025 16:19:50,176035,168881,385
30/5/2025 16:19:50,175976,168886,435
30/5/2025 16:19:50,175879,168813,408
30/5/2025 16:19:50,175713,168733,362
30/5/2025 16:19:50,175564,168625,339
30/5/2025 16:19:50,175441,168571,368
30/5/2025 16:19:50,175293,168539,396
30/5/2025 16:19:50,175245,168516,422
30/5/2025 16:19:50,175170,168515,346
30/5/2025 16:19:50,175102,168488,351
30/5/2025 16:19:50,175045,168510,329
30/5/2025 16:19:50,175011,168481,390
30/5/2025 16:19:50,175089,168463,338
30/5/2025 16:19:50,175048,168525,347
30/5/2025 16:19:50,175073,168488,404
30/5/2025 16:19:50,175085,168535,401
