Timestamp,R,IR,G
28/5/2025 14:44,201228,197540,411
28/5/2025 14:44,201261,197538,354
28/5/2025 14:44,201282,197523,395
28/5/2025 14:44,201253,197562,363
28/5/2025 14:44,201212,197528,381
28/5/2025 14:44,201302,197571,408
28/5/2025 14:44,201230,197485,399
28/5/2025 14:44,201294,197583,365
28/5/2025 14:44,201233,197618,436
28/5/2025 14:44,201346,197574,333
28/5/2025 14:44,201213,197551,328
28/5/2025 14:44,201366,197574,360
28/5/2025 14:44,201370,197561,369
28/5/2025 14:44,201393,197652,333
28/5/2025 14:44,201428,197627,419
28/5/2025 14:44,201478,197623,378
28/5/2025 14:44,201514,197662,331
28/5/2025 14:44,201549,197606,404
28/5/2025 14:44,201604,197631,482
28/5/2025 14:44,201605,197689,370
28/5/2025 14:44,201481,197628,386
28/5/2025 14:44,201319,197518,358
28/5/2025 14:44,201026,197437,381
28/5/2025 14:44,200601,197256,339
28/5/2025 14:44,200290,197082,400
28/5/2025 14:44,200024,197044,390
28/5/2025 14:44,199904,197034,413
28/5/2025 14:44,199770,196944,414
28/5/2025 14:44,199733,196962,345
28/5/2025 14:44,199713,196906,423
28/5/2025 14:44,199711,196926,358
28/5/2025 14:44,199757,196908,313
28/5/2025 14:44,199847,196989,367
28/5/2025 14:44,199944,197059,323
28/5/2025 14:44,199996,197028,431
28/5/2025 14:44,200176,197076,459
28/5/2025 14:44,200110,197128,418
28/5/2025 14:44,200289,197185,326
28/5/2025 14:44,200318,197135,377
28/5/2025 14:44,200329,197134,410
28/5/2025 14:44,200333,197141,372
28/5/2025 14:44,200383,197235,344
28/5/2025 14:44,200407,197203,393
28/5/2025 14:44,200479,197182,426
28/5/2025 14:44,200568,197309,394
28/5/2025 14:44,200644,197294,418
28/5/2025 14:44,200789,197360,333
28/5/2025 14:44,200764,197323,363
28/5/2025 14:44,200834,197359,394
28/5/2025 14:44,200861,197321,406
28/5/2025 14:44,200839,197379,356
28/5/2025 14:44,200758,197344,355
28/5/2025 14:44,200728,197319,371
28/5/2025 14:44,200746,197323,359
28/5/2025 14:44,200699,197387,331
28/5/2025 14:44,200740,197315,416
28/5/2025 14:44,200641,197275,334
28/5/2025 14:44,200699,197355,289
28/5/2025 14:44,200691,197323,430
28/5/2025 14:44,200763,197347,449
28/5/2025 14:44,200840,197374,364
28/5/2025 14:44,200815,197421,365
28/5/2025 14:44,200812,197398,388
28/5/2025 14:44,200845,197360,351
28/5/2025 14:44,200919,197426,329
28/5/2025 14:44,200951,197468,384
28/5/2025 14:44,201027,197485,420
28/5/2025 14:44,201001,197480,337
28/5/2025 14:44,201122,197495,342
28/5/2025 14:44,201171,197530,398
28/5/2025 14:44,201151,197493,314
28/5/2025 14:44,201136,197518,407
28/5/2025 14:44,201173,197553,364
28/5/2025 14:44,201252,197578,323
28/5/2025 14:44,201285,197642,344
28/5/2025 14:44,201232,197688,378
28/5/2025 14:44,201271,197564,398
28/5/2025 14:44,201368,197634,374
28/5/2025 14:44,201313,197671,378
28/5/2025 14:44,201374,197531,409
28/5/2025 14:44,201418,197603,399
